,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
137,4601.0,21,2000.0,1.0,0.00042094005,5.457077,1.4412509,4.015826,2.6983087,4601.0,1.1170251,-3.0715125,7.1479254
138,4602.0,21,1990.0,0.0,0.00044844951,0.9420009,0.5564183,0.38558263,1.8642025,4602.0,15.294075,14.019871,16.187286
139,4602.0,21,2000.0,1.0,0.0006250704,2.3846006,1.1901542,1.1944466,1.901092,4602.0,1.2899808,-3.088883,7.904393
140,4701.0,28,1990.0,0.0,0.00032644818,0.95571566,0.5836329,0.3720828,1.2533343,4701.0,14.833355,12.993908,18.534517
141,4701.0,28,2000.0,1.0,0.00043018334,2.2980392,1.0008341,1.2972051,2.3874466,4701.0,-6.9682255,-11.927877,0.30442646
142,4702.0,28,1990.0,0.0,0.00052668067,1.3633603,0.75962335,0.6037368,2.4886253,4702.0,6.845999,3.981161,12.288523
143,4702.0,28,2000.0,1.0,0.00071310165,2.9110825,1.3197837,1.5912987,2.7769232,4702.0,-1.446792,-5.6991577,4.1185107
144,4800.0,28,1990.0,0.0,0.0006164252,0.7358431,0.45805994,0.27778322,0.38731995,4800.0,17.486954,17.806625,17.871141
145,4800.0,28,2000.0,1.0,0.00074066373,0.7294613,0.34023145,0.3892299,0.7753952,4800.0,-6.108897,-6.027903,-5.9114866
146,4901.0,47,1990.0,0.0,0.0006962187,1.7263654,0.8484799,0.87788564,1.5503892,4901.0,18.83092,17.39254,21.35129
147,4901.0,47,2000.0,1.0,0.0009922081,2.1596618,1.1813451,0.9783167,2.5535536,4901.0,-3.5805702,-4.883221,-0.7969992
148,4902.0,47,1990.0,0.0,0.0003442072,1.6415471,0.7199058,0.9216413,1.6499449,4902.0,18.78643,17.039013,20.585203
149,4902.0,47,2000.0,1.0,0.0004599654,2.4221263,1.0894458,1.3326805,2.5868914,4902.0,-2.0371165,-5.318778,3.4272332
150,4903.0,47,1990.0,0.0,0.00015663698,5.468642,2.321207,3.1474352,3.416568,4903.0,14.823914,12.7037525,17.5591
151,4903.0,47,2000.0,1.0,0.00022858127,6.2903547,3.1416464,3.148708,4.354527,4903.0,-1.6627312,-6.784235,5.821228
152,5000.0,28,1990.0,0.0,0.000713546,3.968376,2.1442127,1.8241631,2.768577,5000.0,16.448307,13.805008,20.85228
153,5000.0,28,2000.0,1.0,0.001003704,4.995736,2.7454772,2.2502592,3.9960787,5000.0,-3.1035287,-3.5927634,-2.4499893
154,5100.0,28,1990.0,0.0,0.00047739007,5.1439304,2.0686097,3.0753205,3.4264445,5100.0,15.476561,13.7198925,17.486525
155,5100.0,28,2000.0,1.0,0.0006578559,5.400087,2.137246,3.262841,5.1476164,5100.0,0.54291314,-5.517074,8.023535
156,5201.0,28,1990.0,0.0,0.0002005021,4.6076393,2.9183395,1.6893,2.5422587,5201.0,20.203257,16.268158,25.921154
157,5201.0,28,2000.0,1.0,0.00027342647,4.98987,2.8519232,2.1379466,4.340038,5201.0,-1.0664804,-0.5392347,-1.5869823
158,5202.0,47,1990.0,0.0,0.0041226754,0.8641399,0.4777867,0.38635325,0.60784656,5202.0,17.494392,15.994024,20.280743
159,5202.0,47,2000.0,1.0,0.00574965,0.8101412,0.43292618,0.377215,1.2224164,5202.0,-0.3368514,-1.9680431,2.1990368
160,5300.0,5,1990.0,0.0,0.0005672982,1.4612439,0.68722636,0.77401763,1.5219643,5300.0,18.024445,17.534208,20.885515
161,5300.0,5,2000.0,1.0,0.0006901321,1.4879638,0.78489864,0.7030653,1.7046713,5300.0,0.271116,-0.86075914,2.2998538
162,5401.0,21,1990.0,0.0,0.00056648604,0.76465,0.45705768,0.30759227,1.5526125,5401.0,17.763662,14.884233,21.020699
163,5401.0,21,2000.0,1.0,0.00082798954,2.1709526,0.9015348,1.2694178,2.2158082,5401.0,-1.7815998,-6.0243607,4.9495697
164,5402.0,21,1990.0,0.0,0.000333721,0.87969154,0.40562838,0.47406325,2.4229352,5402.0,19.226599,14.705801,22.510195
165,5402.0,21,2000.0,1.0,0.00046213207,2.250481,0.80266327,1.4478177,2.1464906,5402.0,3.7543435,3.9602008,7.012163
166,5500.0,47,1990.0,0.0,0.0005164693,1.1905055,0.584704,0.60580146,1.875022,5500.0,16.79163,13.246822,22.034979
167,5500.0,47,2000.0,1.0,0.00080548495,4.161834,1.8655233,2.2963102,2.944095,5500.0,-6.214687,-11.499882,4.046917
168,5600.0,47,1990.0,0.0,0.0040243887,0.9973584,0.53113484,0.46622354,0.84570163,5600.0,17.03744,13.507462,21.305132
169,5600.0,47,2000.0,1.0,0.0062550507,0.99613845,0.5991288,0.39700964,1.4565111,5600.0,1.9841194,0.743321,3.216539
170,5700.0,47,1990.0,0.0,0.00044540863,1.8031957,0.8633609,0.93983465,1.7419858,5700.0,18.101835,16.679811,21.208143
171,5700.0,47,2000.0,1.0,0.0006538867,2.0857878,0.8562957,1.2294921,1.7690364,5700.0,-2.8732164,-6.6736765,2.7086394
172,5800.0,47,1990.0,0.0,0.0004876927,3.2163088,1.3140665,1.902242,2.12576,5800.0,12.456894,9.0566635,17.05513
173,5800.0,47,2000.0,1.0,0.00069089053,3.6567438,1.5120815,2.1446621,2.473018,5800.0,1.6540799,-2.7062552,9.643759
174,5900.0,47,1990.0,0.0,0.00083791325,1.8081591,0.8166141,0.9915451,1.2334899,5900.0,16.089869,14.727163,21.2811
175,5900.0,47,2000.0,1.0,0.0012502712,2.055604,1.0099171,1.0456868,1.9447863,5900.0,10.467325,17.105648,3.0698776
176,6000.0,1,1990.0,0.0,0.0018246139,1.3764969,0.8796516,0.49684528,1.0158514,6000.0,11.392736,11.121607,14.509964
177,6000.0,1,2000.0,1.0,0.0026098457,3.4817548,2.1810446,1.3007098,2.6954954,6000.0,-0.8632115,-3.4097261,3.161158
178,6100.0,1,1990.0,0.0,0.0011117287,1.0875797,0.5990677,0.48851204,2.2423677,6100.0,13.059521,9.489918,18.16492
179,6100.0,1,2000.0,1.0,0.0015106167,3.2284331,1.4756546,1.7527782,2.8222914,6100.0,-2.6813915,-4.1657176,-0.3709793
